,Plot 2 (FL1-A),,Plot 3 (FL3-A),,Plot 5 (FL1-A)
,This Plot,M1,This Plot,M2,This Plot
,Median FL1-A,% of This Plot,Median FL3-A,% of This Plot,Median FL1-A
A01,,,319,1.20%,0
A02,,,"4,026.00",88.82%,0
A03,,,"13,629.00",97.38%,"22,186.00"
A04,,,468,18.74%,0
A05,,,"11,087.50",98.22%,0
A06,,,"5,638.50",88.46%,632
B01,,,312,1.16%,0
B02,,,"3,901.00",87.32%,0
B03,,,"13,694.00",97.80%,0
B04,,,474,18.02%,0
B05,,,"10,463.50",97.42%,0
B06,,,"8,449.00",95.54%,0
C01,,,313,1.90%,0
C02,,,"3,640.00",85.44%,0
C03,,,"13,097.50",97.14%,0
C04,,,468,18.92%,0
C05,,,"8,311.00",96.28%,0
C06,,,"7,449.50",94.26%,0
D01,,,316,1.92%,0
D02,,,"2,674.00",78.86%,0
D03,,,"12,532.50",96.62%,0
D04,,,490,20.40%,0
D05,,,505,24.36%,0
D06,,,"2,625.50",74.96%,0
E01,,,399,11.32%,0
E02,,,"1,007.00",51.56%,0
E03,,,"9,701.00",93.82%,0
E04,,,488,20.42%,0
E05,,,398,10.50%,0
E06,,,617,33.76%,0
F01,,,411,11.88%,0
F02,,,479,19.30%,0
F03,,,"4,286.50",81.78%,0
F04,,,456,18.36%,0
F05,,,402,11.08%,0
F06,,,428,13.56%,0
G01,,,396,11.25%,"8,659.00"
G02,,,418,12.76%,"9,777.00"
G03,,,899,47.62%,0
H01,,,415,13.26%,"8,236.50"
