well,cellCol,cellRow,concentration,agonist,unit,control,inhibitor,antibody,fluorophore,measure
,3,0,0,header,,,,,,
A01,2,4,1.00E-013,vehicle,M,,EDTA,fibrinogen,FITC,MedianFI
B01,2,10,1.00E-013,vehicle,M,,EDTA,fibrinogen,FITC,MedianFI
C01,2,16,1.00E-013,vehicle,M,,vehicle,isotype,FITC,MedianFI
D01,2,22,1.00E-013,vehicle,M,,vehicle,isotype,FITC,MedianFI
E01,2,28,1.00E-013,vehicle,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F01,2,34,1.00E-013,vehicle,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
G01,2,40,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,MedianFI
H01,2,43,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,MedianFI
A02,2,5,0.00003,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
B02,2,11,0.00001,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
C02,2,17,0.000003,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
D02,2,23,0.000001,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
E02,2,29,0.0000003,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F02,2,35,0.0000001,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
G02,2,41,0.00000003,ADP,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
A03,2,6,0.000003,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
B03,2,12,0.000001,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
C03,2,18,0.0000003,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
D03,2,24,0.0000001,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
E03,2,30,0.00000003,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F03,2,36,0.00000001,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
G03,2,42,0.000000003,CRP,g/ml,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
A04,2,7,0.0003,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
B04,2,13,0.0001,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
C04,2,19,0.00003,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
D04,2,25,0.00001,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
E04,2,31,0.000003,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F04,2,37,0.000001,epinephrine,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
A05,2,8,0.000015,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
B05,2,14,0.000005,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
C05,2,20,0.0000015,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
D05,2,26,0.0000005,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
E05,2,32,0.00000015,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F05,2,38,0.00000005,TRAP-6,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
A06,2,9,0.0001,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
B06,2,15,0.00003,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
C06,2,21,0.00001,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
D06,2,27,0.000003,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
E06,2,33,0.000001,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
F06,2,39,0.0000003,U46619,M,RestVehFibrMFI,vehicle,fibrinogen,FITC,MedianFI
A01,3,4,1.00E-013,vehicle,M,,EDTA,fibrinogen,FITC,ppositive
B01,3,10,1.00E-013,vehicle,M,,EDTA,fibrinogen,FITC,ppositive
C01,3,16,1.00E-013,vehicle,M,,vehicle,isotype,FITC,ppositive
D01,3,22,1.00E-013,vehicle,M,,vehicle,isotype,FITC,ppositive
E01,3,28,1.00E-013,vehicle,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F01,3,34,1.00E-013,vehicle,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
G01,3,40,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,ppositive
H01,3,43,1.00E-013,vehicle,M,,vehicle,fibrinogen,FITC,ppositive
A02,3,5,0.00003,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
B02,3,11,0.00001,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
C02,3,17,0.000003,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
D02,3,23,0.000001,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
E02,3,29,0.0000003,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F02,3,35,0.0000001,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
G02,3,41,0.00000003,ADP,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
A03,3,6,0.000003,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
B03,3,12,0.000001,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
C03,3,18,0.0000003,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
D03,3,24,0.0000001,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
E03,3,30,0.00000003,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F03,3,36,0.00000001,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
G03,3,42,0.000000003,CRP,g/ml,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
A04,3,7,0.0003,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
B04,3,13,0.0001,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
C04,3,19,0.00003,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
D04,3,25,0.00001,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
E04,3,31,0.000003,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F04,3,37,0.000001,epinephrine,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
A05,3,8,0.000015,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
B05,3,14,0.000005,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
C05,3,20,0.0000015,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
D05,3,26,0.0000005,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
E05,3,32,0.00000015,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F05,3,38,0.00000005,TRAP-6,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
A06,3,9,0.0001,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
B06,3,15,0.00003,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
C06,3,21,0.00001,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
D06,3,27,0.000003,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
E06,3,33,0.000001,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
F06,3,39,0.0000003,U46619,M,RestVehFibrPP,vehicle,fibrinogen,FITC,ppositive
A01,4,4,1.00E-013,vehicle,M,,EDTA,P-selectin,PE-Cy5,MedianFI
B01,4,10,1.00E-013,vehicle,M,,EDTA,P-selectin,PE-Cy5,MedianFI
C01,4,16,1.00E-013,vehicle,M,,vehicle,isotype,PE-Cy5,MedianFI
D01,4,22,1.00E-013,vehicle,M,,vehicle,isotype,PE-Cy5,MedianFI
E01,4,28,1.00E-013,vehicle,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F01,4,34,1.00E-013,vehicle,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
G01,4,40,1.00E-013,vehicle,M,,vehicle,P-selectin,PE-Cy5,MedianFI
H01,4,43,1.00E-013,vehicle,M,,vehicle,P-selectin,PE-Cy5,MedianFI
A02,4,5,0.00003,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
B02,4,11,0.00001,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
C02,4,17,0.000003,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
D02,4,23,0.000001,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
E02,4,29,0.0000003,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
F02,4,35,0.0000001,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
G02,4,41,0.00000003,ADP,M,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
A03,4,6,0.000003,CRP,g/ml,RestVehPselMFI,vehicle,P-selectin,PE-Cy5,MedianFI
